# Last Hero — правила чата, за которые предусмотрен МУТ
# Формат: номер | срок мута | описание
# Правила с баном / IP-баном / «по решению администрации» и правила,
# которые нельзя определить по сообщению в чате, здесь не указаны специально.

1.1 | 30m | Флуд / спам / капс в любом проявлении
1.2 | 1h | Любые оскорбления игроков
1.3 | 3d | Оскорбление проекта
1.5 | 2h | Провокация игроков на флуд и нарушение правил
1.6 | 3h | Разжигание конфликта, пропаганда ненависти или дискриминации (социальной, расовой, национальной, религиозной)
1.7 | 2h | Упоминание сторонних серверов по Minecraft
1.8 | 6h | Оскорбление родных и близких игроков
1.9 | 6h | Оскорбление или неуважительное общение с членами команды проекта
1.10 | 1h | Лексика сексуального / аморального характера
1.12 | 1h | Обсуждение наказания, выданного командой проекта
1.13 | 30m | Попрошайничество в любом виде
1.16 | 2h | Введение игроков в заблуждение
